Country/Region,population,Lat,Long,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20
World,7662954796,0.0,0.0,9.376177106997439,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.951438960094009,4.586519946926899,3.65875116945013,2.959537056313985,2.6679025988678906,2.134647866981779,1.4719789489740922,8.147266510251589,10.0,2.536509316674999,1.529788279264948,1.4915122849479168,1.4301896820606612,1.2312569379472542,1.0846019622760048,11.09067487469141,17.397100251093136,21.1446224518832,27.40849560373883,23.834892586523658,24.440049320295575,36.08772875554591,34.78828421145853,33.36662980148795,45.84123867321421,54.366993631647894,64.8285967136264,72.07621886430653,69.86407037280986,92.59690137376498,122.61054226010147,118.97372123641107,116.0383891007065,117.60313446372616,130.64799531590654,119.72759370553634,155.56724020576667,178.75168711779898,218.45461689360846,209.55192395357236,235.32798317370558,267.8503921759739,301.0628105487102,329.78805079951036,326.369474686813,325.64530236430863,310.80007057419095,307.31418935186275,295.7951684694756,300.34266310939444,285.6827194748305,281.74758241621873,253.98180350455615,205.6766306587927,208.96998783922552,231.6613239826619,225.50975932318704,210.66305343716002,190.55103993372438,177.94499330612692,180.99879523639152,170.98223017334712,166.95835947252567,167.8407493952099,175.09316577530555,164.89405715307328,138.20133923834547,138.2372244933975,124.59533352638074,117.52383330645428,125.57008230325175,126.59019245563401,117.53246082569251,109.86001732308854,109.59191700683311,108.5535288772509,95.96625101769234,96.0310836161138,103.24367105824567,98.89688834380962,86.20326887083766,79.77724818793466,77.79297715965504,78.78910717464704,80.31514429522655,81.0554183260028,77.65485646916805,76.08057512910433,75.571527641449,73.82648561796849,75.01337285434913,73.23519111129214,72.85120410514632,72.56273550305002,71.57484185449829,69.4532876607645,68.72369455518553,70.02786179594477,69.0345811467628,69.40965001735891,68.12173116404834,66.14955879471513,65.3489688312583,65.69970047231838,66.46837894000889,66.40810547173757
Africa,1304577376,3.0119857454545453,17.287491854545458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.292207241058398,9.346592917752622,10.0,6.503597959174322,8.242330353514227,10.0,6.3174118332422,5.533244556403051,7.316894663299591,7.121866749587839,7.330002061243776,7.1459718723031695,6.55013539748926,4.266475949520357,2.160048231335309,2.328097846269318,2.2009170382125536,2.326144690249889,2.8519679187032647,3.5012428001882454,3.0959898111594786,2.670553794067435,2.9678648054935985,2.9413197817296477,2.5326198215319704,2.5269025187040506,2.2187240102584553,1.9578712470890531,2.222952147424701,2.279810234996205,2.283021377543924,2.273968697889788,2.081230794903458,2.2572761761672457,2.6615741603439016,2.2202124825041327,1.8703162407366052,1.9956245317776735,1.9446511299553335,2.328162002992605,2.5150176046543624,2.0325177366851803,1.8669201552677115,1.9884370249697474,2.019625948676989,2.0639473105148336,2.1416223816506736,2.1520641303918637,2.2141665351706097,2.203695683381483,2.2225126541047495,2.1436746121806207,1.9278448436577624,1.9246183589532226,2.330089387486538,2.412071435762435,2.178486163663476,2.0799677905034635,2.0232148399619536,2.0064057940025513,1.9402439183556077,1.943135418701016,2.0227041661788263,2.2167187149267082,2.1973146157568153,2.0197305587140013,2.0167873061565387,2.008679919580171
Asia,4561079256,25.631418592520955,75.61656410251452,9.376177106997439,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.951438960094009,4.586519946926899,3.65875116945013,2.959537056313985,2.6679025988678906,2.134647866981779,1.4719789489740922,8.147266510251589,10.0,2.536509316674999,1.529788279264948,1.4915122849479168,1.4301896820606612,1.2312569379472542,1.0846019622760048,5.545337437345705,5.799033417031045,7.048207483961067,5.802831867912944,4.611630862174552,4.813349773431859,6.521932188886477,6.197071052864634,5.841657450371988,5.168247734642842,4.873398726329578,4.96571934272528,4.415243772861306,3.972814074561973,4.519380274752995,4.522108452020289,3.794744247282214,2.126935445671987,2.139947115572505,3.068692185109062,3.5476553069543724,3.652462886538093,4.338250602484945,5.458883475128376,4.2000168104246764,4.6003825988518665,5.611987335688086,5.564160052080038,5.406477255436637,5.844766869539011,5.769684949849311,5.21028458406126,5.598584432639185,5.620697026053358,5.018968484504644,4.338430158624274,5.163995557922928,4.75053987831799,4.196595161086476,4.183369253072613,4.790966697223222,4.643702373069564,4.557930471748127,4.444023483116885,4.47719591948352,4.927044084201172,4.538929504085076,3.4701128631752507,3.5699575968160917,3.7634359317325465,3.608223893169538,3.4024415813646893,3.3060206829548395,3.0781172020532344,2.8807043374006653,3.2016006324247397,3.383712419745476,3.1834653387401946,2.9849812604076154,2.957987506490223,2.985294534208509,2.52083530894076,2.3620597853762058,2.3500062045759553,2.154697791147013,1.9920505799990165,1.9297913374470812,1.805796113761292,1.783375623040059,1.8369231499307568,1.8427966228030632,1.7410328501665766,1.6812195304437996,1.7136824106473185,1.7237255533209854,1.7805183827550253,1.6662935738103848,1.6321017594147758,1.680259897578772,1.7297078792535405,1.7184471177104714,1.6725015553501255,1.6739883270533036,1.5985248820156273,1.6046671515992639,1.5584271787362607,1.537109177973303,1.543134108671949,1.5267669522756764,1.5219293225137849,1.5149088110621713
Europe,747069483,46.807598306172835,12.697352007407408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.540371187234658,9.690339888586365,9.573139490032839,7.131060169437282,10.0,9.865327741700364,8.733918634855797,8.176936947813987,8.368200625908758,8.649434928303407,8.963533703607133,8.784406760090857,8.676649881201174,8.11961994139782,7.850856703465276,7.7467131300917345,7.4158887888663765,7.281255798654355,7.307665499178885,7.011656363829247,6.185245811672427,4.748000346968016,4.657775852477465,4.485415131019026,4.7442674418893445,4.9124419820753396,4.381970171051122,3.435119900930934,3.2810231064609368,3.1524685295059145,3.251761022311829,3.2206467385967037,3.552782064299084,3.4434757538446794,2.9179159639418253,2.841760907720415,2.405643842619457,2.4037452403818147,2.480287899029569,2.3743579143181406,2.064115175933979,1.9281228076170238,2.0114214184057384,2.037471444398588,1.6999255798457806,1.717763734453192,1.6793593770689679,1.6219756922369695,1.594729420662456,1.5071035361827085,1.4468448147784443,1.4395736510046946,1.4369000204676623,1.406335788880975,1.3825840185754157,1.3787062130133374,1.3377529253032912,1.3128639612254998,1.32577451881968,1.3389931273750422,1.320750542739782,1.287217883599727,1.252980239808241,1.2334613615046455,1.2306261370331972,1.213448351352765,1.2061213733559177,1.2102391720727756,1.1915599661586622,1.1721974431737645,1.1529856750443155,1.14409247864721,1.1508282552348017,1.1554171451637238
North America,583102263,20.21328038095238,-73.82208592857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.234987647929692,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.920089096299147,9.021012650914516,10.0,10.0,9.876978207382647,9.302797128292102,6.3632943799813875,6.541471089761792,6.983130898416152,5.617775935277513,4.808827698944689,3.5987776604134405,4.413380198900713,4.746582812778322,3.5171001016789156,3.7287636167141502,3.42346495703001,3.4524408599767504,3.010349854381886,2.597202539472354,2.479156113035478,2.2077834197081727,2.322127257499279,2.4789714691918414,2.615160633851648,2.5440946227101104,2.392665626246109,2.2757354640394643,1.9943403486317672,2.2127984945675307,2.4019710993958734,2.296485125510433,2.074010336809691,1.813085409141922,1.7009855069817812,1.7093181837668356,1.765333619336775,1.85653121652402,1.9718598305157302,1.867602157558079,1.8177613559464256,1.7609742611025576,1.5753044690681584,1.5882878515080914,1.7086651159825708,1.697267369211064,1.698585656039869,1.6591051838513953,1.4841884196297852,1.4517568723883691,1.4884278418979975,1.4813178823772373,1.539635142376299,1.5408253754028345,1.4336962897900458,1.4330944800867478,1.5178567975648043,1.455715743454606,1.3775646182063541
Oceania,39935073,-23.5658975,160.75145750000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America,427191345,-14.253664285714285,-63.314007142857136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.6359366074415713,7.151075093513851,10.0,10.0,8.315842463711776,9.87119540928325,9.712019999364708,10.0,8.909489705552634,8.343441953268655,6.934109788360233,7.940717544288006,7.1936034630535755,6.007393953975406,5.971599148768721,5.43086475692141,5.430797882118439,8.397824612157539,7.507620550545897,4.543980461070279,4.009232834605404,4.505029602489728,3.966326817703141,3.702283215439711,5.93456002557529,6.1562949894573915,5.825624037095646,5.155858725521211,2.6974312337753865,3.3742382794595804,3.248209769967749,2.3849915830024924,2.6281309272639644,2.4725596959841263,2.37586005031511,2.2909792683701062,2.2407071231298934,2.0216496856518313,2.1187607638779102,2.267281538383022,3.903953581873904,4.248621742469178,2.6088837302327237,1.8969607046886594,2.106732645252518,2.3427937477080314,2.3827807756102954,2.531744957913724,2.326098562599273,2.261441560840295,2.2492762275419254,2.142778880182866,2.225304355869382,2.089945465672686,2.0388134781273504,1.9205903715421015,1.8198996334705047,1.6851357298565237,1.7456631792950776,2.0444013863584587,2.1472235149060355,2.1391239830961504,2.067709422656919,1.8231675875654294,1.7250176229609036,1.8845567667846723,2.07906706883912,2.1378040849292583
Afghanistan,38041754,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2880917,41.1533,20.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,43053054,28.0339,1.6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
